municipality,year,value
Faaborg-Midtfyn,2015,478.77
Fanø,2015,337.42
Favrskov,2015,464.62
Faxe,2015,460.04
Fredensborg,2015,410.46
Fredericia,2015,419.0
Frederiksberg,2015,233.63
Frederikshavn,2015,425.64
Frederikssund,2015,451.24
Furesø,2015,403.13
Gentofte,2015,360.34
Gladsaxe,2015,379.2
Glostrup,2015,402.6
Greve,2015,421.42
Gribskov,2015,485.89
Guldborgsund,2015,449.05
Haderslev,2015,458.83
Halsnæs,2015,445.8
Hedensted,2015,498.45
Helsingør,2015,382.53
Herlev,2015,364.22
Herning,2015,445.65
Hillerød,2015,417.61
Hjørring,2015,442.06
Holbæk,2015,444.21
Holstebro,2015,432.67
Horsens,2015,420.48
Hvidovre,2015,469.32
Høje-Taastrup,2015,631.95
Hørsholm,2015,453.05
Ikast-Brande,2015,490.71
Ishøj,2015,325.4
Jammerbugt,2015,479.67
Kalundborg,2015,463.66
Kerteminde,2015,462.79
Kolding,2015,435.61
Køge,2015,408.21
Langeland,2015,445.56
Lejre,2015,467.87
Lemvig,2015,461.73
Lolland,2015,429.55
Lyngby-Taarbæk,2015,349.59
Læsø,2015,405.57
Mariagerfjord,2015,468.51
Middelfart,2015,476.32
Morsø,2015,528.73
Norddjurs,2015,459.29
Nordfyns,2015,483.29
Nyborg,2015,429.32
Næstved,2015,429.47
Odder,2015,453.94
Odense,2015,357.88
Odsherred,2015,484.22
Randers,2015,422.38
Rebild,2015,488.24
Ringkøbing-Skjern,2015,460.43
Ringsted,2015,416.17
Roskilde,2015,388.39
Rudersdal,2015,440.67
Rødovre,2015,330.29
Samsø,2015,444.41
Silkeborg,2015,615.63
Skanderborg,2015,457.66
Skive,2015,457.94
Slagelse,2015,404.36
Solrød,2015,419.45
Sorø,2015,447.24
Stevns,2015,481.62
Struer,2015,445.22
Svendborg,2015,420.21
Syddjurs,2015,479.04
Sønderborg,2015,450.23
Thisted,2015,451.45
Tårnby,2015,348.32
Tønder,2015,477.4
Vallensbæk,2015,382.86
Varde,2015,470.31
Vejen,2015,478.7
Vejle,2015,441.24
Vesthimmerlands,2015,471.19
Viborg,2015,456.08
Vordingborg,2015,451.56
Ærø,2015,395.32
Aabenraa,2019,650.78
Aalborg,2019,408.07
Aarhus,2019,341.28
Albertslund,2019,360.37
Allerød,2019,458.59
Assens,2019,513.95
Ballerup,2019,404.21
Billund,2019,512.64
Bornholm,2019,452.67
Brøndby,2019,786.59
Brønderslev,2019,492.85
Copenhagen,2019,256.25
Dragør,2019,421.02
Egedal,2019,464.5
Esbjerg,2019,452.23
Faaborg-Midtfyn,2019,506.09
Fanø,2019,369.57
Favrskov,2019,496.63
Faxe,2019,489.28
Fredensborg,2019,435.26
Fredericia,2019,454.59
Frederiksberg,2019,237.85
Frederikshavn,2019,463.07
Frederikssund,2019,483.98
Furesø,2019,411.41
Gentofte,2019,359.49
Gladsaxe,2019,475.71
Glostrup,2019,475.13
Greve,2019,437.88
Gribskov,2019,523.41
Guldborgsund,2019,484.87
Haderslev,2019,495.8
Halsnæs,2019,488.15
Hedensted,2019,539.52
Helsingør,2019,415.12
Herlev,2019,493.96
Herning,2019,480.16
Hillerød,2019,457.68
Hjørring,2019,508.98
Holbæk,2019,473.6
Holstebro,2019,466.57
Horsens,2019,445.88
Hvidovre,2019,510.67
Høje-Taastrup,2019,682.1
Hørsholm,2019,483.14
Ikast-Brande,2019,578.22
Ishøj,2019,352.57
Jammerbugt,2019,517.16
Kalundborg,2019,502.11
Kerteminde,2019,498.55
Kolding,2019,481.54
Køge,2019,435.81
Langeland,2019,484.71
Lejre,2019,494.04
Lemvig,2019,505.55
Lolland,2019,466.66
Lyngby-Taarbæk,2019,364.46
Læsø,2019,441.31
Mariagerfjord,2019,510.26
Middelfart,2019,521.05
Morsø,2019,637.9
Norddjurs,2019,500.45
Nordfyns,2019,521.27
Nyborg,2019,465.86
Næstved,2019,463.27
Odder,2019,478.68
Odense,2019,380.53
Odsherred,2019,520.08
Randers,2019,455.03
Rebild,2019,536.5
Ringkøbing-Skjern,2019,501.72
Ringsted,2019,445.56
Roskilde,2019,414.68
Rudersdal,2019,1136.31
Rødovre,2019,342.21
Samsø,2019,484.53
Silkeborg,2019,725.46
Skanderborg,2019,480.86
Skive,2019,492.97
Slagelse,2019,440.15
Solrød,2019,435.99
Sorø,2019,482.17
Stevns,2019,510.4
Struer,2019,492.22
Svendborg,2019,448.57
Syddjurs,2019,508.86
Sønderborg,2019,482.25
Thisted,2019,486.28
Tårnby,2019,362.27
Tønder,2019,517.44
Vallensbæk,2019,385.55
Varde,2019,511.54
Vejen,2019,514.62
Vejle,2019,472.12
Vesthimmerlands,2019,511.03
Viborg,2019,498.51
Vordingborg,2019,496.07
Ærø,2019,428.36
Aabenraa,2022,696.37
Aalborg,2022,432.57
Aarhus,2022,359.44
Albertslund,2022,413.93
Allerød,2022,461.21
Assens,2022,552.47
Ballerup,2022,401.02
Billund,2022,541.25
Bornholm,2022,494.73
Brøndby,2022,963.51
Brønderslev,2022,528.21
Copenhagen,2022,266.41
Dragør,2022,424.8
Egedal,2022,480.92
Esbjerg,2022,480.61
Faaborg-Midtfyn,2022,535.67
Fanø,2022,408.81
Favrskov,2022,530.38
Faxe,2022,527.3
Fredensborg,2022,455.51
Fredericia,2022,483.86
Frederiksberg,2022,247.76
Frederikshavn,2022,493.38
Frederikssund,2022,516.75
Furesø,2022,431.96
Gentofte,2022,370.9
Gladsaxe,2022,499.27
Glostrup,2022,540.57
Greve,2022,455.9
Gribskov,2022,552.39
Guldborgsund,2022,523.59
Haderslev,2022,526.85
Halsnæs,2022,519.43
Hedensted,2022,574.19
Helsingør,2022,443.01
Herlev,2022,532.06
Herning,2022,506.77
Hillerød,2022,484.52
Hjørring,2022,552.37
Holbæk,2022,504.81
Holstebro,2022,496.54
Horsens,2022,524.25
Hvidovre,2022,532.52
Høje-Taastrup,2022,785.2
Hørsholm,2022,566.05
Ikast-Brande,2022,540.58
Ishøj,2022,382.86
Jammerbugt,2022,548.98
Kalundborg,2022,534.18
Kerteminde,2022,526.13
Kolding,2022,498.04
Køge,2022,462.8
Langeland,2022,521.68
Lejre,2022,514.24
Lemvig,2022,537.89
Lolland,2022,498.67
Lyngby-Taarbæk,2022,378.15
Læsø,2022,494.63
Mariagerfjord,2022,538.86
Middelfart,2022,596.07
Morsø,2022,805.21
Norddjurs,2022,534.9
Nordfyns,2022,552.57
Nyborg,2022,494.14
Næstved,2022,496.25
Odder,2022,508.75
Odense,2022,411.96
Odsherred,2022,556.31
Randers,2022,484.37
Rebild,2022,567.55
Ringkøbing-Skjern,2022,541.41
Ringsted,2022,484.02
Roskilde,2022,440.2
Rudersdal,2022,1100.56
Rødovre,2022,359.21
Samsø,2022,509.15
Silkeborg,2022,781.65
Skanderborg,2022,499.91
Skive,2022,527.93
Slagelse,2022,472.66
Solrød,2022,451.42
Sorø,2022,517.39
Stevns,2022,536.15
Struer,2022,524.76
Svendborg,2022,480.16
Syddjurs,2022,539.04
Sønderborg,2022,512.56
Thisted,2022,514.24
Tårnby,2022,377.62
Tønder,2022,538.85
Vallensbæk,2022,398.29
Varde,2022,544.96
Vejen,2022,547.73
Vejle,2022,495.81
Vesthimmerlands,2022,544.02
Viborg,2022,536.55
Vordingborg,2022,527.63
Ærø,2022,453.94
Aabenraa,2026,727.01
Aalborg,2026,445.69
Aarhus,2026,350.63
Albertslund,2026,405.39
Allerød,2026,509.57
Assens,2026,580.77
Ballerup,2026,388.64
Billund,2026,549.72
Bornholm,2026,518.52
Brøndby,2026,1480.8
Brønderslev,2026,547.79
Copenhagen,2026,258.02
Dragør,2026,430.64
Egedal,2026,481.1
Esbjerg,2026,494.87
Faaborg-Midtfyn,2026,561.55
Fanø,2026,425.01
Favrskov,2026,545.23
Faxe,2026,552.35
Fredensborg,2026,460.15
Fredericia,2026,494.55
Frederiksberg,2026,235.38
Frederikshavn,2026,512.09
Frederikssund,2026,535.23
Furesø,2026,428.25
Gentofte,2026,363.7
Gladsaxe,2026,467.83
Glostrup,2026,400.44
Greve,2026,454.21
Gribskov,2026,568.81
Guldborgsund,2026,547.67
Haderslev,2026,553.61
Halsnæs,2026,546.29
Hedensted,2026,619.09
Helsingør,2026,451.97
Herlev,2026,572.59
Herning,2026,527.23
Hillerød,2026,457.21
Hjørring,2026,581.54
Holbæk,2026,517.91
Holstebro,2026,509.23
Horsens,2026,556.02
Hvidovre,2026,611.81
Høje-Taastrup,2026,922.5
Hørsholm,2026,614.07
Ikast-Brande,2026,569.23
Ishøj,2026,368.34
Jammerbugt,2026,575.94
Kalundborg,2026,556.38
Kerteminde,2026,541.41
Kolding,2026,504.84
Køge,2026,467.13
Langeland,2026,558.43
