municipality,year,reference_period,value
Frederikshavn,2011,2011Q1,61576
Frederikshavn,2015,2015Q1,60377
Frederikshavn,2019,2019Q1,59987
Frederikshavn,2022,2022Q1,58878
Frederikshavn,2024,2024M01,58376
Frederikshavn,2026,2026M02,57467
Frederikssund,2007,2008Q1,44102
Frederikssund,2011,2011Q1,44307
Frederikssund,2015,2015Q1,44413
Frederikssund,2019,2019Q1,45332
Frederikssund,2022,2022Q1,45800
Frederikssund,2024,2024M01,46358
Frederikssund,2026,2026M02,47454
Furesø,2007,2008Q1,37667
Furesø,2011,2011Q1,38286
Furesø,2015,2015Q1,39077
Furesø,2019,2019Q1,41069
Furesø,2022,2022Q1,41402
Furesø,2024,2024M01,42533
Furesø,2026,2026M02,42884
Gentofte,2007,2008Q1,68913
Gentofte,2011,2011Q1,71714
Gentofte,2015,2015Q1,74932
Gentofte,2019,2019Q1,75176
Gentofte,2022,2022Q1,74217
Gentofte,2024,2024M01,75033
Gentofte,2026,2026M02,75031
Gladsaxe,2007,2008Q1,62562
Gladsaxe,2011,2011Q1,64951
Gladsaxe,2015,2015Q1,67347
Gladsaxe,2019,2019Q1,69681
Gladsaxe,2022,2022Q1,69259
Gladsaxe,2024,2024M01,70600
Gladsaxe,2026,2026M02,71122
Glostrup,2007,2008Q1,20673
Glostrup,2011,2011Q1,21384
Glostrup,2015,2015Q1,22357
Glostrup,2019,2019Q1,22615
Glostrup,2022,2022Q1,23514
Glostrup,2024,2024M01,23655
Glostrup,2026,2026M02,25869
Greve,2007,2008Q1,47773
Greve,2011,2011Q1,47978
Greve,2015,2015Q1,48835
Greve,2019,2019Q1,50267
Greve,2022,2022Q1,50818
Greve,2024,2024M01,52157
Greve,2026,2026M02,54114
Gribskov,2007,2008Q1,40512
Gribskov,2011,2011Q1,40700
Gribskov,2015,2015Q1,40855
Gribskov,2019,2019Q1,41195
Gribskov,2022,2022Q1,41147
Gribskov,2024,2024M01,41920
Gribskov,2026,2026M02,41831
Guldborgsund,2007,2008Q1,63496
Guldborgsund,2011,2011Q1,62583
Guldborgsund,2015,2015Q1,60829
Guldborgsund,2019,2019Q1,60930
