municipality,year,value
Faaborg-Midtfyn,2015,86.52
Fanø,2015,89.66
Favrskov,2015,88.96
Faxe,2015,85.63
Fredensborg,2015,87.61
Fredericia,2015,84.54
Frederiksberg,2015,87.86
Frederikshavn,2015,83.99
Frederikssund,2015,86.67
Furesø,2015,89.97
Gentofte,2015,89.19
Gladsaxe,2015,85.41
Glostrup,2015,84.32
Greve,2015,87.35
Gribskov,2015,87.41
Guldborgsund,2015,84.2
Haderslev,2015,86.02
Halsnæs,2015,84.49
Hedensted,2015,88.34
Helsingør,2015,85.02
Herlev,2015,85.15
Herning,2015,87.65
Hillerød,2015,88.47
Hjørring,2015,84.74
Holbæk,2015,85.52
Holstebro,2015,87.18
Horsens,2015,85.9
Hvidovre,2015,83.96
Høje-Taastrup,2015,83.62
Hørsholm,2015,90.44
Ikast-Brande,2015,86.64
Ishøj,2015,79.41
Jammerbugt,2015,85.57
Kalundborg,2015,84.11
Kerteminde,2015,87.25
Kolding,2015,85.56
Køge,2015,87.07
Langeland,2015,84.89
Lejre,2015,90.45
Lemvig,2015,87.17
Lolland,2015,81.28
Lyngby-Taarbæk,2015,88.82
Læsø,2015,84.36
Mariagerfjord,2015,84.18
Middelfart,2015,87.77
Morsø,2015,85.4
Norddjurs,2015,83.48
Nordfyns,2015,87.18
Nyborg,2015,86.18
Næstved,2015,85.67
Odder,2015,89.03
Odense,2015,85.01
Odsherred,2015,84.8
Randers,2015,84.18
Rebild,2015,88.12
Ringkøbing-Skjern,2015,86.69
Ringsted,2015,86.34
Roskilde,2015,88.02
Rudersdal,2015,90.73
Rødovre,2015,84.26
Samsø,2015,85.08
Silkeborg,2015,87.9
Skanderborg,2015,90.08
Skive,2015,85.45
Slagelse,2015,83.23
Solrød,2015,89.74
Sorø,2015,86.12
Stevns,2015,87.48
Struer,2015,87.18
Svendborg,2015,86.08
Syddjurs,2015,86.61
Sønderborg,2015,85.57
Thisted,2015,86.12
Tårnby,2015,85.25
Tønder,2015,84.65
Vallensbæk,2015,87.43
Varde,2015,86.88
Vejen,2015,86.85
Vejle,2015,86.42
Vesthimmerlands,2015,83.39
Viborg,2015,86.17
Vordingborg,2015,86.06
Ærø,2015,84.81
Aabenraa,2019,81.92
Aalborg,2019,83.4
Aarhus,2019,87.03
Albertslund,2019,82.85
Allerød,2019,91.42
Assens,2019,85.25
Ballerup,2019,84.85
Billund,2019,83.73
Bornholm,2019,81.82
Brøndby,2019,79.8
Brønderslev,2019,83.77
Copenhagen,2019,84.32
Dragør,2019,88.79
Egedal,2019,89.62
Esbjerg,2019,82.17
Faaborg-Midtfyn,2019,84.5
Fanø,2019,88.5
Favrskov,2019,87.62
Faxe,2019,83.28
Fredensborg,2019,87.16
Fredericia,2019,82.14
Frederiksberg,2019,87.89
Frederikshavn,2019,81.66
Frederikssund,2019,85.08
Furesø,2019,89.26
Gentofte,2019,89.0
Gladsaxe,2019,84.6
Glostrup,2019,82.71
Greve,2019,86.17
Gribskov,2019,84.91
Guldborgsund,2019,81.1
Haderslev,2019,83.38
Halsnæs,2019,82.74
Hedensted,2019,86.02
Helsingør,2019,84.05
Herlev,2019,83.48
Herning,2019,86.04
Hillerød,2019,87.08
Hjørring,2019,82.89
Holbæk,2019,83.89
Holstebro,2019,85.94
Horsens,2019,83.75
Hvidovre,2019,83.24
Høje-Taastrup,2019,82.79
Hørsholm,2019,89.67
Ikast-Brande,2019,84.43
Ishøj,2019,78.54
Jammerbugt,2019,83.09
Kalundborg,2019,81.67
Kerteminde,2019,85.59
Kolding,2019,84.45
Køge,2019,85.86
Langeland,2019,81.85
Lejre,2019,89.03
Lemvig,2019,84.82
Lolland,2019,77.36
Lyngby-Taarbæk,2019,88.16
Læsø,2019,82.26
Mariagerfjord,2019,82.43
Middelfart,2019,85.88
Morsø,2019,83.49
Norddjurs,2019,80.46
Nordfyns,2019,84.65
Nyborg,2019,84.33
Næstved,2019,83.12
Odder,2019,88.15
Odense,2019,84.3
Odsherred,2019,82.43
Randers,2019,82.09
Rebild,2019,86.62
Ringkøbing-Skjern,2019,84.67
Ringsted,2019,84.45
Roskilde,2019,87.36
Rudersdal,2019,89.81
Rødovre,2019,82.81
Samsø,2019,85.21
Silkeborg,2019,86.8
Skanderborg,2019,89.43
Skive,2019,84.22
Slagelse,2019,81.44
Solrød,2019,88.38
Sorø,2019,83.84
Stevns,2019,84.92
Struer,2019,84.74
Svendborg,2019,84.87
Syddjurs,2019,84.59
Sønderborg,2019,83.08
Thisted,2019,84.38
Tårnby,2019,83.35
Tønder,2019,81.05
Vallensbæk,2019,86.75
Varde,2019,84.17
Vejen,2019,83.86
Vejle,2019,85.28
Vesthimmerlands,2019,80.97
Viborg,2019,84.73
Vordingborg,2019,83.1
Ærø,2019,82.94
Aabenraa,2022,82.29
Aalborg,2022,83.59
Aarhus,2022,85.8
Albertslund,2022,78.26
Allerød,2022,91.71
Assens,2022,84.38
Ballerup,2022,82.73
Billund,2022,83.95
Bornholm,2022,81.63
Brøndby,2022,75.7
Brønderslev,2022,84.97
Copenhagen,2022,83.36
Dragør,2022,88.83
Egedal,2022,88.45
Esbjerg,2022,81.88
Faaborg-Midtfyn,2022,84.75
Fanø,2022,90.35
Favrskov,2022,88.2
Faxe,2022,82.91
Fredensborg,2022,85.94
Fredericia,2022,81.32
Frederiksberg,2022,87.46
Frederikshavn,2022,82.57
Frederikssund,2022,84.46
Furesø,2022,89.08
Gentofte,2022,89.6
Gladsaxe,2022,83.22
Glostrup,2022,81.13
Greve,2022,84.04
Gribskov,2022,84.49
Guldborgsund,2022,81.75
Haderslev,2022,83.09
Halsnæs,2022,82.59
Hedensted,2022,86.17
Helsingør,2022,83.61
Herlev,2022,80.79
Herning,2022,85.3
Hillerød,2022,86.38
Hjørring,2022,83.51
Holbæk,2022,83.63
Holstebro,2022,85.51
Horsens,2022,83.43
Hvidovre,2022,81.46
Høje-Taastrup,2022,79.51
Hørsholm,2022,89.44
Ikast-Brande,2022,84.16
Ishøj,2022,73.94
Jammerbugt,2022,84.81
Kalundborg,2022,81.11
Kerteminde,2022,85.53
Kolding,2022,83.74
Køge,2022,84.74
Langeland,2022,81.88
Lejre,2022,88.66
Lemvig,2022,86.66
Lolland,2022,77.64
Lyngby-Taarbæk,2022,87.65
Læsø,2022,85.14
Mariagerfjord,2022,83.66
Middelfart,2022,86.23
Morsø,2022,83.64
Norddjurs,2022,81.45
Nordfyns,2022,84.28
Nyborg,2022,83.81
Næstved,2022,83.0
Odder,2022,87.68
Odense,2022,82.64
Odsherred,2022,82.68
Randers,2022,82.11
Rebild,2022,88.21
Ringkøbing-Skjern,2022,85.75
Ringsted,2022,83.07
Roskilde,2022,86.78
Rudersdal,2022,90.06
Rødovre,2022,80.84
Samsø,2022,86.87
Silkeborg,2022,87.01
Skanderborg,2022,89.59
Skive,2022,84.05
Slagelse,2022,79.67
Solrød,2022,87.79
Sorø,2022,83.89
Stevns,2022,85.11
Struer,2022,85.51
Svendborg,2022,84.85
Syddjurs,2022,85.64
Sønderborg,2022,82.4
Thisted,2022,84.51
Tårnby,2022,83.19
Tønder,2022,82.04
Vallensbæk,2022,82.78
Varde,2022,85.04
Vejen,2022,84.4
Vejle,2022,84.7
Vesthimmerlands,2022,82.65
Viborg,2022,84.92
Vordingborg,2022,83.02
Ærø,2022,84.39
