municipality,year,value
Ishøj,2011,13.1
Jammerbugt,2011,18.9
Kalundborg,2011,18.7
Kerteminde,2011,20.4
Kolding,2011,16.1
Køge,2011,16.4
Langeland,2011,27.0
Lejre,2011,17.1
Lemvig,2011,20.0
Lolland,2011,23.5
Lyngby-Taarbæk,2011,19.2
Læsø,2011,29.0
Mariagerfjord,2011,18.1
Middelfart,2011,18.6
Morsø,2011,20.6
Norddjurs,2011,19.7
Nordfyns,2011,18.4
Nyborg,2011,20.1
Næstved,2011,17.4
Odder,2011,17.8
Odense,2011,15.6
Odsherred,2011,23.5
Randers,2011,17.4
Rebild,2011,16.3
Ringkøbing-Skjern,2011,17.8
Ringsted,2011,15.2
Roskilde,2011,16.8
Rudersdal,2011,20.7
Rødovre,2011,18.6
Samsø,2011,27.1
Silkeborg,2011,15.8
Skanderborg,2011,14.0
Skive,2011,18.7
Slagelse,2011,18.2
Solrød,2011,15.8
Sorø,2011,17.3
Stevns,2011,19.8
Struer,2011,19.0
Svendborg,2011,18.8
Syddjurs,2011,19.4
Sønderborg,2011,20.3
Thisted,2011,18.9
Tårnby,2011,17.7
Tønder,2011,19.5
Vallensbæk,2011,16.2
Varde,2011,17.9
Vejen,2011,17.6
Vejle,2011,16.3
Vesthimmerlands,2011,19.0
Viborg,2011,16.4
Vordingborg,2011,21.5
Ærø,2011,29.0
Aabenraa,2015,21.2
Aalborg,2015,17.3
Aarhus,2015,14.0
Albertslund,2015,17.0
Allerød,2015,19.9
Assens,2015,21.6
Ballerup,2015,20.4
Billund,2015,19.7
Bornholm,2015,26.6
Brøndby,2015,18.8
Brønderslev,2015,20.8
Copenhagen,2015,10.3
Dragør,2015,23.4
Egedal,2015,17.9
Esbjerg,2015,18.6
Faaborg-Midtfyn,2015,22.8
Fanø,2015,29.9
Favrskov,2015,17.2
Faxe,2015,20.6
Fredensborg,2015,20.8
Fredericia,2015,19.6
Frederiksberg,2015,16.6
Frederikshavn,2015,24.1
Frederikssund,2015,21.7
Furesø,2015,20.8
Gentofte,2015,19.1
Gladsaxe,2015,16.5
Glostrup,2015,18.7
Greve,2015,20.2
Gribskov,2015,24.3
Guldborgsund,2015,24.8
Haderslev,2015,20.7
Halsnæs,2015,23.5
Hedensted,2015,18.7
