municipality,year,value
Aalborg,2019,36.0
Aarhus,2019,44.5
Albertslund,2019,29.0
Allerød,2019,46.3
Assens,2019,24.5
Ballerup,2019,31.8
Billund,2019,22.0
Bornholm,2019,23.2
Brøndby,2019,24.3
Brønderslev,2019,24.9
Copenhagen,2019,51.9
Dragør,2019,39.0
Egedal,2019,34.8
Esbjerg,2019,28.9
Faaborg-Midtfyn,2019,25.4
Fanø,2019,41.3
Favrskov,2019,32.6
Faxe,2019,22.4
Fredensborg,2019,39.3
Fredericia,2019,26.3
Frederiksberg,2019,56.7
Frederikshavn,2019,21.1
Frederikssund,2019,28.1
Furesø,2019,48.5
Gentofte,2019,55.5
Gladsaxe,2019,42.2
Glostrup,2019,30.2
Greve,2019,29.1
Gribskov,2019,28.3
Guldborgsund,2019,22.6
Haderslev,2019,24.4
Halsnæs,2019,24.2
Hedensted,2019,23.4
Helsingør,2019,33.3
Herlev,2019,31.8
Herning,2019,27.0
Hillerød,2019,38.0
Hjørring,2019,23.8
Holbæk,2019,26.7
Holstebro,2019,27.6
Horsens,2019,30.1
Hvidovre,2019,31.5
Høje-Taastrup,2019,28.2
Hørsholm,2019,47.9
Ikast-Brande,2019,23.4
Ishøj,2019,24.7
Jammerbugt,2019,22.2
Kalundborg,2019,20.8
Kerteminde,2019,25.3
Kolding,2019,30.9
Køge,2019,27.2
Langeland,2019,18.4
Lejre,2019,32.8
Lemvig,2019,21.8
Lolland,2019,16.8
Lyngby-Taarbæk,2019,52.8
Læsø,2019,19.7
Mariagerfjord,2019,23.9
Middelfart,2019,29.2
Morsø,2019,18.0
Norddjurs,2019,19.1
Nordfyns,2019,22.9
Nyborg,2019,25.8
Næstved,2019,25.7
Odder,2019,31.2
Odense,2019,37.0
Odsherred,2019,20.5
Randers,2019,25.9
Rebild,2019,31.6
Ringkøbing-Skjern,2019,22.5
Ringsted,2019,26.4
Roskilde,2019,37.9
Rudersdal,2019,52.4
Rødovre,2019,32.8
Samsø,2019,27.8
Silkeborg,2019,32.8
Skanderborg,2019,38.2
Skive,2019,23.0
Slagelse,2019,24.1
Solrød,2019,32.0
Sorø,2019,27.5
Stevns,2019,24.3
Struer,2019,22.9
Svendborg,2019,30.3
Syddjurs,2019,29.5
Sønderborg,2019,28.4
Thisted,2019,21.3
Tårnby,2019,27.3
Tønder,2019,20.3
Vallensbæk,2019,35.1
Varde,2019,23.0
Vejen,2019,21.6
Vejle,2019,31.9
Vesthimmerlands,2019,20.6
Viborg,2019,28.6
Vordingborg,2019,24.7
Ærø,2019,26.6
Aabenraa,2022,24.9
Aalborg,2022,38.5
Aarhus,2022,46.2
Albertslund,2022,30.3
Allerød,2022,49.0
Assens,2022,26.4
Ballerup,2022,34.9
Billund,2022,24.3
Bornholm,2022,26.0
Brøndby,2022,27.6
Brønderslev,2022,26.7
Copenhagen,2022,54.0
Dragør,2022,41.7
Egedal,2022,37.7
Esbjerg,2022,30.8
Faaborg-Midtfyn,2022,27.8
Fanø,2022,43.3
Favrskov,2022,35.6
Faxe,2022,24.0
Fredensborg,2022,41.9
Fredericia,2022,28.2
Frederiksberg,2022,57.4
Frederikshavn,2022,23.0
Frederikssund,2022,30.2
Furesø,2022,50.8
Gentofte,2022,57.0
Gladsaxe,2022,44.5
Glostrup,2022,33.9
Greve,2022,31.6
Gribskov,2022,30.5
Guldborgsund,2022,24.5
Haderslev,2022,26.0
Halsnæs,2022,26.3
Hedensted,2022,25.6
Helsingør,2022,36.1
Herlev,2022,34.6
Herning,2022,29.1
Hillerød,2022,39.8
Hjørring,2022,25.7
Holbæk,2022,29.1
Holstebro,2022,29.1
Horsens,2022,32.6
Hvidovre,2022,33.9
Høje-Taastrup,2022,32.1
Hørsholm,2022,49.8
Ikast-Brande,2022,25.6
Ishøj,2022,27.1
Jammerbugt,2022,24.0
Kalundborg,2022,22.3
Kerteminde,2022,27.8
Kolding,2022,32.9
Køge,2022,29.9
Langeland,2022,20.0
Lejre,2022,36.2
Lemvig,2022,23.7
Lolland,2022,18.0
Lyngby-Taarbæk,2022,55.7
Læsø,2022,21.3
